2011-05-01 13:19:58 Notice: Notice (1024): Please change the value of 'Security.salt' in app/config/core.php to a salt value specific to your application in [/media/windows/wwwroot/diplomski/app/cake/libs/debugger.php, line 684]
2011-05-01 13:19:58 Notice: Notice (1024): Please change the value of 'Security.cipherSeed' in app/config/core.php to a numeric (digits only) seed value specific to your application in [/media/windows/wwwroot/diplomski/app/cake/libs/debugger.php, line 688]
2011-05-01 13:33:36 Notice: Notice (8): Undefined variable: javascript in [/media/windows/wwwroot/diplomski/app/app/views/pages/homepage.ctp, line 3]
2011-05-01 14:37:28 Notice: Notice (8): Undefined variable: page in [/media/windows/wwwroot/diplomski/app/app/controllers/pages_controller.php, line 88]
2011-05-01 14:37:28 Notice: Notice (8): Undefined variable: page in [/media/windows/wwwroot/diplomski/app/app/controllers/pages_controller.php, line 91]
2011-05-01 14:37:40 Notice: Notice (8): Undefined variable: page in [/media/windows/wwwroot/diplomski/app/app/controllers/pages_controller.php, line 88]
2011-05-01 14:37:40 Notice: Notice (8): Undefined variable: page in [/media/windows/wwwroot/diplomski/app/app/controllers/pages_controller.php, line 91]
2011-05-01 14:38:22 Notice: Notice (8): Undefined variable: page in [/media/windows/wwwroot/diplomski/app/app/controllers/pages_controller.php, line 88]
2011-05-01 14:38:22 Notice: Notice (8): Undefined variable: page in [/media/windows/wwwroot/diplomski/app/app/controllers/pages_controller.php, line 91]
2011-05-01 14:38:22 Notice: Notice (8): Undefined variable: page in [/media/windows/wwwroot/diplomski/app/app/controllers/pages_controller.php, line 88]
2011-05-01 14:38:22 Notice: Notice (8): Undefined variable: page in [/media/windows/wwwroot/diplomski/app/app/controllers/pages_controller.php, line 91]
2011-05-01 14:38:22 Notice: Notice (8): Undefined variable: page in [/media/windows/wwwroot/diplomski/app/app/controllers/pages_controller.php, line 88]
2011-05-01 14:38:22 Notice: Notice (8): Undefined variable: page in [/media/windows/wwwroot/diplomski/app/app/controllers/pages_controller.php, line 91]
2011-05-01 14:38:22 Notice: Notice (8): Undefined variable: page in [/media/windows/wwwroot/diplomski/app/app/controllers/pages_controller.php, line 88]
2011-05-01 14:38:22 Notice: Notice (8): Undefined variable: page in [/media/windows/wwwroot/diplomski/app/app/controllers/pages_controller.php, line 91]
2011-05-01 14:38:23 Notice: Notice (8): Undefined variable: page in [/media/windows/wwwroot/diplomski/app/app/controllers/pages_controller.php, line 88]
2011-05-01 14:38:23 Notice: Notice (8): Undefined variable: page in [/media/windows/wwwroot/diplomski/app/app/controllers/pages_controller.php, line 91]
2011-05-01 15:04:23 Notice: Notice (8): Undefined variable: manifest in [/media/windows/wwwroot/diplomski/app/app/views/layouts/html5mobile.ctp, line 2]
2011-05-01 15:04:27 Notice: Notice (8): Undefined variable: manifest in [/media/windows/wwwroot/diplomski/app/app/views/layouts/html5mobile.ctp, line 2]
2011-05-01 15:04:29 Notice: Notice (8): Undefined variable: manifest in [/media/windows/wwwroot/diplomski/app/app/views/layouts/html5mobile.ctp, line 2]
2011-05-03 10:51:05 Notice: Notice (8): Undefined property: FilesController::$RequestHandler in [/media/windows/wwwroot/diplomski/app/app/controllers/files_controller.php, line 13]
2011-05-03 10:52:06 Notice: Notice (8): Undefined property: FilesController::$RequestHandler in [/media/windows/wwwroot/diplomski/app/app/controllers/files_controller.php, line 13]
2011-05-03 10:52:20 Notice: Notice (8): Undefined property: FilesController::$RequestHandler in [/media/windows/wwwroot/diplomski/app/app/controllers/files_controller.php, line 13]
2011-05-03 10:52:44 Notice: Notice (8): Undefined variable: javascript in [/media/windows/wwwroot/diplomski/app/app/views/files/upload.ctp, line 3]
2011-05-03 11:17:25 Notice: Notice (8): Use of undefined constant ’file’ - assumed '’file’' in [/media/windows/wwwroot/diplomski/app/app/controllers/files_controller.php, line 13]
2011-05-03 11:17:29 Notice: Notice (8): Use of undefined constant ’file’ - assumed '’file’' in [/media/windows/wwwroot/diplomski/app/app/controllers/files_controller.php, line 13]
2011-05-03 11:44:21 Notice: Notice (8): Undefined property: UploadsController::$File in [/media/windows/wwwroot/diplomski/app/app/controllers/uploads_controller.php, line 16]
2011-05-08 07:53:01 Notice: Notice (8): Undefined index: title_r in [/media/windows/wwwroot/diplomski/app/app/controllers/uploads_controller.php, line 21]
2011-05-08 07:53:01 Notice: Notice (8): Undefined index: description_r in [/media/windows/wwwroot/diplomski/app/app/controllers/uploads_controller.php, line 22]
2011-05-14 15:54:02 Notice: Notice (8): Undefined property: Pin::$Categoty in [/media/windows/wwwroot/diplomski/app/controllers/pins_controller.php, line 76]
2011-05-14 15:54:21 Notice: Notice (8): Undefined property: Pin::$Categoty in [/media/windows/wwwroot/diplomski/app/controllers/pins_controller.php, line 76]
2011-05-14 18:19:15 Notice: Notice (8): session_start() [http://php.net/function.session-start]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in [/media/windows/wwwroot/diplomski/cake/libs/cake_session.php, line 587]
2011-05-14 19:22:27 Notice: Notice (8): Undefined variable: categories in [/media/windows/wwwroot/diplomski/app/views/pages/profile_settings.ctp, line 32]
2011-05-14 19:49:57 Notice: Notice (8): Undefined variable: categories in [/media/windows/wwwroot/diplomski/app/views/pages/profile_settings.ctp, line 32]
2011-05-14 19:50:34 Notice: Notice (8): Undefined variable: categories in [/media/windows/wwwroot/diplomski/app/views/pages/profile_settings.ctp, line 32]
2011-05-14 19:51:29 Notice: Notice (8): Undefined variable: categories in [/media/windows/wwwroot/diplomski/app/views/pages/profile_settings.ctp, line 32]
2011-05-14 19:51:30 Notice: Notice (8): Undefined variable: categories in [/media/windows/wwwroot/diplomski/app/views/pages/profile_settings.ctp, line 32]
2011-05-14 19:51:30 Notice: Notice (8): Undefined variable: categories in [/media/windows/wwwroot/diplomski/app/views/pages/profile_settings.ctp, line 32]
2011-05-14 19:51:49 Notice: Notice (8): Undefined variable: categories in [/media/windows/wwwroot/diplomski/app/views/pages/profile_settings.ctp, line 32]
2011-05-14 19:51:50 Notice: Notice (8): Undefined variable: categories in [/media/windows/wwwroot/diplomski/app/views/pages/profile_settings.ctp, line 32]
2011-05-14 19:51:50 Notice: Notice (8): Undefined variable: categories in [/media/windows/wwwroot/diplomski/app/views/pages/profile_settings.ctp, line 32]
2011-05-14 19:51:50 Notice: Notice (8): Undefined variable: categories in [/media/windows/wwwroot/diplomski/app/views/pages/profile_settings.ctp, line 32]
2011-05-14 19:53:31 Notice: Notice (8): Undefined variable: categories in [/media/windows/wwwroot/diplomski/app/views/pages/profile_settings.ctp, line 32]
2011-05-14 19:53:31 Notice: Notice (8): Undefined variable: categories in [/media/windows/wwwroot/diplomski/app/views/pages/profile_settings.ctp, line 32]
2011-05-14 19:53:31 Notice: Notice (8): Undefined variable: categories in [/media/windows/wwwroot/diplomski/app/views/pages/profile_settings.ctp, line 32]
2011-05-14 19:54:06 Notice: Notice (8): Undefined variable: categories in [/media/windows/wwwroot/diplomski/app/views/pages/profile_settings.ctp, line 32]
2011-05-14 19:54:06 Notice: Notice (8): Undefined variable: categories in [/media/windows/wwwroot/diplomski/app/views/pages/profile_settings.ctp, line 32]
2011-05-14 19:55:40 Notice: Notice (8): Undefined variable: categories in [/media/windows/wwwroot/diplomski/app/views/pages/profile_settings.ctp, line 32]
2011-05-14 19:55:40 Notice: Notice (8): Undefined variable: categories in [/media/windows/wwwroot/diplomski/app/views/pages/profile_settings.ctp, line 32]
2011-05-14 19:57:41 Notice: Notice (8): Undefined variable: categories in [/media/windows/wwwroot/diplomski/app/views/pages/profile_settings.ctp, line 32]
2011-05-14 19:57:41 Notice: Notice (8): Undefined variable: categories in [/media/windows/wwwroot/diplomski/app/views/pages/profile_settings.ctp, line 32]
2011-05-14 19:59:37 Notice: Notice (8): Undefined variable: categories in [/media/windows/wwwroot/diplomski/app/views/pages/profile_settings.ctp, line 32]
2011-05-14 19:59:37 Notice: Notice (8): Undefined variable: categories in [/media/windows/wwwroot/diplomski/app/views/pages/profile_settings.ctp, line 32]
2011-05-14 20:00:09 Notice: Notice (8): Undefined variable: categories in [/media/windows/wwwroot/diplomski/app/views/pages/profile_settings.ctp, line 32]
2011-05-18 21:39:27 Notice: Notice (8): Undefined property: UploadsController::$Upload in [/media/windows/wwwroot/diplomski/app/controllers/uploads_controller.php, line 38]
2011-05-18 21:40:26 Notice: Notice (8): session_start() [http://php.net/function.session-start]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in [/media/windows/wwwroot/diplomski/cake/libs/cake_session.php, line 587]
2011-05-22 12:16:16 Notice: Notice (8): Undefined variable: city_options in [/media/windows/wwwroot/diplomski/app/controllers/pins_controller.php, line 30]
2011-05-22 12:18:10 Notice: Notice (8): Undefined variable: city_options in [/media/windows/wwwroot/diplomski/app/controllers/pins_controller.php, line 30]
2011-05-22 12:49:50 Notice: Notice (8): Undefined property: PinsController::$Category in [/media/windows/wwwroot/diplomski/app/controllers/pins_controller.php, line 26]
2011-05-22 17:41:30 Notice: Notice (8): Undefined variable: pin in [/media/windows/wwwroot/diplomski/app/controllers/pins_controller.php, line 75]
2011-05-22 17:44:14 Notice: Notice (8): Undefined index: Category in [/media/windows/wwwroot/diplomski/app/controllers/pins_controller.php, line 74]
2011-05-22 17:44:29 Notice: Notice (8): Undefined index: Category in [/media/windows/wwwroot/diplomski/app/controllers/pins_controller.php, line 74]
2011-05-22 17:44:31 Notice: Notice (8): Undefined index: Category in [/media/windows/wwwroot/diplomski/app/controllers/pins_controller.php, line 74]
2011-05-22 17:44:32 Notice: Notice (8): Undefined index: Category in [/media/windows/wwwroot/diplomski/app/controllers/pins_controller.php, line 74]
2011-05-22 17:44:35 Notice: Notice (8): Undefined variable: categorys in [/media/windows/wwwroot/diplomski/app/controllers/pins_controller.php, line 74]
